station_name,line,borough,segment,unique_key,station_key,station_key_split,line_designators_str
168 St,1,M,Upper Broadway,1168 StUpper Broadway,168_St|A_C_1,1|168_St|A_C_1,1
Fulton St,4,M,Lexington Av (CBD),4Fulton StLexington Av (CBD),Fulton_St|A_C_J_Z_2_3_4_5,4|Fulton_St|A_C_J_Z_2_3_4_5,4_5
Fulton St,5,M,Lexington Av (CBD),5Fulton StLexington Av (CBD),Fulton_St|A_C_J_Z_2_3_4_5,5|Fulton_St|A_C_J_Z_2_3_4_5,4_5
Brooklyn Bridge-City Hall,4,M,Lexington Av (CBD),4Brooklyn Bridge-City HallLexington Av (CBD),Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,4|Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,4_5_6
Brooklyn Bridge-City Hall,5,M,Lexington Av (CBD),5Brooklyn Bridge-City HallLexington Av (CBD),Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,5|Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,4_5_6
Brooklyn Bridge-City Hall,6,M,Lexington Av (CBD),6Brooklyn Bridge-City HallLexington Av (CBD),Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,6|Brooklyn_Bridge_City_Hall_Chambers_St|4_5_6_J_Z,4_5_6
Canal St,6,M,Lexington Av (CBD),6Canal StLexington Av (CBD),Canal_St|J_N_Q_R_W_Z_6,6|Canal_St|J_N_Q_R_W_Z_6,6
Bleecker St,6,M,Lexington Av (CBD),6Bleecker StLexington Av (CBD),Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,6|Broadway_Lafayette_St_Bleecker_St|B_D_F_M_6,6
14 St-Union Sq,4,M,Lexington Av (CBD),414 St-Union SqLexington Av (CBD),14_St_Union_Sq|L_N_Q_R_W_4_5_6,4|14_St_Union_Sq|L_N_Q_R_W_4_5_6,4_5_6
14 St-Union Sq,5,M,Lexington Av (CBD),514 St-Union SqLexington Av (CBD),14_St_Union_Sq|L_N_Q_R_W_4_5_6,5|14_St_Union_Sq|L_N_Q_R_W_4_5_6,4_5_6
14 St-Union Sq,6,M,Lexington Av (CBD),614 St-Union SqLexington Av (CBD),14_St_Union_Sq|L_N_Q_R_W_4_5_6,6|14_St_Union_Sq|L_N_Q_R_W_4_5_6,4_5_6
Grand Central,4,M,Lexington Av (CBD),4Grand Central-42 StLexington Av (CBD),Grand_Central_42_St|S_4_5_6_7,4|Grand_Central_42_St|S_4_5_6_7,4_5_6
Grand Central,5,M,Lexington Av (CBD),5Grand Central-42 StLexington Av (CBD),Grand_Central_42_St|S_4_5_6_7,5|Grand_Central_42_St|S_4_5_6_7,4_5_6
Grand Central,6,M,Lexington Av (CBD),6Grand Central-42 StLexington Av (CBD),Grand_Central_42_St|S_4_5_6_7,6|Grand_Central_42_St|S_4_5_6_7,4_5_6
Lexington Av-53 St /51 St,6,M,Lexington Av (CBD),651 StLexington Av (CBD),Lexington_Av_53_St_51_St|E_M_6,6|Lexington_Av_53_St_51_St|E_M_6,6
59 St,4,M,Lexington Av (CBD),459 StLexington Av (CBD),Lexington_Av_59_St|N_W_R_4_5_6,4|Lexington_Av_59_St|N_W_R_4_5_6,4_5_6
59 St,5,M,Lexington Av (CBD),559 StLexington Av (CBD),Lexington_Av_59_St|N_W_R_4_5_6,5|Lexington_Av_59_St|N_W_R_4_5_6,4_5_6
59 St,6,M,Lexington Av (CBD),659 StLexington Av (CBD),Lexington_Av_59_St|N_W_R_4_5_6,6|Lexington_Av_59_St|N_W_R_4_5_6,4_5_6
149 St-Grand Concourse,4,Bx,Jerome Av,4149 St-Grand ConcourseJerome Av,149_St_Grand_Concourse|2_4_5,4|149_St_Grand_Concourse|2_4_5,4
161 St-Yankee Stadium,4,Bx,Jerome Av,4161 St-Yankee StadiumJerome Av,161_St_Yankee_Stadium|B_D_4,4|161_St_Yankee_Stadium|B_D_4,4
149 St-Grand Concourse,2,Bx,White Plains Rd,2149 St-Grand ConcourseWhite Plains Rd,149_St_Grand_Concourse|2_4_5,2|149_St_Grand_Concourse|2_4_5,2_5
149 St-Grand Concourse,5,Bx,White Plains Rd,5149 St-Grand ConcourseWhite Plains Rd,149_St_Grand_Concourse|2_4_5,5|149_St_Grand_Concourse|2_4_5,2_5
Times Square,7,M,Flushing (Manhattan),7Times SquareFlushing (Manhattan),Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,7|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,7
5 Av,7,M,Flushing (Manhattan),75 AvFlushing (Manhattan),42_St_Bryant_Pk_5_Av|B_D_F_M_7,7|42_St_Bryant_Pk_5_Av|B_D_F_M_7,7
Grand Central,7,M,Flushing (Manhattan),7Grand CentralFlushing (Manhattan),Grand_Central_42_St|S_4_5_6_7,7|Grand_Central_42_St|S_4_5_6_7,7
Times Square-42 St,S,M,42 St Shtl,STimes Square42 St Shtl,Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,S|Times_Sq_42_St_42_St|N_Q_R_W_S_1_2_3_7_A_C_E,S
Grand Central,S,M,42 St Shtl,SGrand Central42 St Shtl,Grand_Central_42_St|S_4_5_6_7,S|Grand_Central_42_St|S_4_5_6_7,S
Whitehall St-South Ferry,R,M,Broadway-60 St,RWhitehall St-South FerryBroadway-60 St,South_Ferry_Whitehall_St|1_R_W,R|South_Ferry_Whitehall_St|1_R_W,R
Canal St,N,M,Broadway-60 St,NCanal StBroadway-60 St,Canal_St|J_N_Q_R_W_Z_6,N|Canal_St|J_N_Q_R_W_Z_6,N_Q_R
Canal St,Q,M,Broadway-60 St,QCanal StBroadway-60 St,Canal_St|J_N_Q_R_W_Z_6,Q|Canal_St|J_N_Q_R_W_Z_6,N_Q_R
Canal St,R,M,Broadway-60 St,RCanal StBroadway-60 St,Canal_St|J_N_Q_R_W_Z_6,R|Canal_St|J_N_Q_R_W_Z_6,N_Q_R
14 St-Union Sq,N,M,Broadway-60 St,N14 St-Union SqBroadway-60 St,14_St_Union_Sq|L_N_Q_R_W_4_5_6,N|14_St_Union_Sq|L_N_Q_R_W_4_5_6,N_Q_R
14 St-Union Sq,Q,M,Broadway-60 St,Q14 St-Union SqBroadway-60 St,14_St_Union_Sq|L_N_Q_R_W_4_5_6,Q|14_St_Union_Sq|L_N_Q_R_W_4_5_6,N_Q_R
14 St-Union Sq,R,M,Broadway-60 St,R14 St-Union SqBroadway-60 St,14_St_Union_Sq|L_N_Q_R_W_4_5_6,R|14_St_Union_Sq|L_N_Q_R_W_4_5_6,N_Q_R
34 St-Herald Square,N,M,Broadway-60 St,N34 St-Herald SquareBroadway-60 St,34_St_Herald_Square|B_D_F_M_N_Q_R_W,N|34_St_Herald_Square|B_D_F_M_N_Q_R_W,N_Q_R
34 St-Herald Square,Q,M,Broadway-60 St,Q34 St-Herald SquareBroadway-60 St,34_St_Herald_Square|B_D_F_M_N_Q_R_W,Q|34_St_Herald_Square|B_D_F_M_N_Q_R_W,N_Q_R
34 St-Herald Square,R,M,Broadway-60 St,R34 St-Herald SquareBroadway-60 St,34_St_Herald_Square|B_D_F_M_N_Q_R_W,R|34_St_Herald_Square|B_D_F_M_N_Q_R_W,N_Q_R
