borough,closing,opening,station,transfer_segement,transfer_station_name,segment,station_name,line_designators,full_station_name,line,annual_ridership,fiscal_year,student_to_total,annual_ridership_student_adj
Bx,,1918-08-01,Longwood Av,,,Pelham,Longwood Av,['6'],Longwood Av (6),6,594860.0,1997,1.0637468361812454,632780.4429707756
Bx,,1918-08-01,Hunts Point Av,,,Pelham,Hunts Point Av,['6'],Hunts Point Av (6),6,1829976.0,1997,1.0637468361812454,1946631.1802876107
Bx,,1920-05-30,Whitlock Av,,,Pelham,Whitlock Av,['6'],Whitlock Av (6),6,241069.0,1997,1.0637468361812454,256436.38605137667
Bx,,1920-05-30,Elder Av,,,Pelham,Elder Av,['6'],Elder Av (6),6,1223005.0,1997,1.0637468361812454,1300967.6993838442
Bx,,1920-05-30,Morrison Av-Soundview,,,Pelham,Morrison Av-Soundview,['6'],Morrison Av-Soundview (6),6,1321202.0,1997,1.0637468361812454,1405424.4474563338
Bx,,1920-05-30,St Lawrence Av,,,Pelham,St Lawrence Av,['6'],St Lawrence Av (6),6,874778.0,1997,1.0637468361812454,930542.3298609576
Bx,,1920-05-30,Parkchester,,,Pelham,Parkchester,['6'],Parkchester (6),6,3138314.0,1997,1.0637468361812454,3338371.588443309
Bx,,1920-10-24,Castle Hill Av,,,Pelham,Castle Hill Av,['6'],Castle Hill Av (6),6,1408289.0,1997,1.0637468361812454,1498062.96817885
Bx,,1920-10-24,Zerega Av,,,Pelham,Zerega Av,['6'],Zerega Av (6),6,408674.0,1997,1.0637468361812454,434725.6745295343
Bx,,1920-10-24,Westchester Sq-East Tremont Av,,,Pelham,Westchester Sq-East Tremont Av,['6'],Westchester Sq-East Tremont Av (6),6,839567.0,1997,1.0637468361812454,893086.7400121797
Bx,,1920-12-20,Middletown Rd,,,Pelham,Middletown Rd,['6'],Middletown Rd (6),6,329911.0,1997,1.0637468361812454,350941.78247139085
Bx,,1920-12-20,Buhre Av,,,Pelham,Buhre Av,['6'],Buhre Av (6),6,591491.0,1997,1.0637468361812454,629196.6798796811
Bx,,1920-12-20,Pelham Bay Park,,,Pelham,Pelham Bay Park,['6'],Pelham Bay Park (6),6,1096563.0,1997,1.0637468361812454,1166465.421923415
M,,2015-09-13,34 St-Hudson Yards,,,Flushing (Manhattan),34 St-Hudson Yards,['7'],34 St-Hudson Yards (7),7,,1997,1.0637468361812454,
M,,1918-01-05,Rector St,,,Broadway-60 St,Rector St,['R'],Rector St (R),R,1494682.0,1997,1.0637468361812454,1589963.2485970564
M,,1918-01-05,Cortlandt St,,,Broadway-60 St,Cortlandt St,['R'],Cortlandt St (R),R,5468164.0,1997,1.0637468361812454,5816742.154720183
M,,1918-01-05,City Hall,,,Broadway-60 St,City Hall,['R'],City Hall (R),R,2637786.0,1997,1.0637468361812454,2805936.5120231826
M,,1917-09-04,Prince St,,,Broadway-60 St,Prince St,"['N', 'R']","Prince St (N,R)",N,2770231.0,1997,1.0637468361812454,2946824.4617412076
M,,1917-09-04,Prince St,,,Broadway-60 St,Prince St,"['N', 'R']","Prince St (N,R)",R,2770231.0,1997,1.0637468361812454,2946824.4617412076
M,,1917-09-04,8 St-New York University,,,Broadway-60 St,8 St-New York University,"['N', 'R']","8 St-New York University (N,R)",N,4598716.0,1997,1.0637468361812454,4891869.595496072
M,,1917-09-04,8 St-New York University,,,Broadway-60 St,8 St-New York University,"['N', 'R']","8 St-New York University (N,R)",R,4598716.0,1997,1.0637468361812454,4891869.595496072
