Segment,Station,Boro,Comments,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
6 Av,"Grand St (B,D)",M,,7565225,8434265,9051836,6120697,2040606,1799917,5088831,6196196,7040274,7562391,7916118
6 Av,East Broadway (F),M,,3311632,3572658,3677771,4307356,4589652,4352635,4048710,3951122,4116490,4149390,4281913
6 Av,Delancey St (F),M,"See Manhattan CBD Transfer: Delancey St (F)/Essex St (J,M,Z)",,,,,,,,,,,
6 Av,2 Av (F),M,,2996630,3328903,3637622,3845891,4158457,4279275,4479066,4649539,5039736,5501841,5845342
6 Av,"Broadway-Lafayette St (B,D,F,M)",M,"See Manhattan CBD Transfer: Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",,,,,,,,,,,
6 Av,"West 4 St-Washington Sq (B,D,F,M)",M,"See Manhattan CBD Transfer: West 4 St-Washington Sq (A,B,C,D,E,F,M)",,,,,,,,,,,
6 Av,"14 St (F,M)",M,"See Manhattan CBD Transfer: 14 St (F,M,1,2,3)/6 Av (L)",,,,,,,,,,,
6 Av,"23 St (F,M)",M,,5086805,5643989,5884822,6028814,6165975,6395319,6711715,6975107,7179443,7512297,7565129
6 Av,"34 St-Herald Sq (B,D,F,M)",M,"See Manhattan CBD Transfer: 34 St-Herald Sq (B,D,F,M,N,Q,R)",,,,,,,,,,,
6 Av,"42 St-Bryant Pk (B,D,F,M)",M,"See Manhattan CBD Transfer: 42 St-Bryant Pk (B,D,F,M)/5 Av (7)",,,,,,,,,,,
6 Av,"47-50 Sts-Rockefeller Center (B,D,F,M)",M,,16219834,17268564,18409112,17591014,15901255,15016674,16203077,16340661,16801789,17628737,17477350
6 Av,6 Av Total,,,35180126,38248379,40661163,37893772,32855945,31843820,36531399,38112625,40177732,42354656,43085852
8 Av,"Fulton St (A,C)",M,"See Manhattan CBD Transfer: Fulton St (A,C,J,Z,2,3,4,5)",,,,,,,,,,,
8 Av,World Trade Center (E),M,"See Manhattan CBD Transfer: Chambers St (A,C)/WTC (E)/Park Place (2,3)",,,,,,,,,,,
8 Av,"Chambers St (A,C)",M,"See Manhattan CBD Transfer: Chambers St (A,C)/WTC (E)/Park Place (2,3)",,,,,,,,,,,
8 Av,"Canal St (A,C,E)",M,,4088512,4364428,4813958,5152150,5309669,4942512,5104588,5032628,5259927,5342257,5537713
8 Av,"Spring St (C,E)",M,,2339186,2637526,2799021,2756454,2616514,2605514,2787051,2873559,3051044,3319086,3399017
8 Av,"West 4 St-Washington Sq (A,C,E)",M,"See Manhattan CBD Transfer: West 4 St-Washington Sq (A,B,C,D,E,F,M)",,,,,,,,,,,
8 Av,"14 St (A,C,E)",M,"See Manhattan CBD Transfer: 14 St (A,C,E)/8 Av (L)",,,,,,,,,,,
8 Av,"23 St (C,E)",M,,4667688,5052915,5412062,5461246,5248443,5244743,5869125,6118062,6455303,6785651,7060491
8 Av,"34 St-Penn Station (A,C,E)",M,,20237799,21338725,22503337,22637540,23727788,21707757,22130711,22484623,23729462,25262174,26013432
8 Av,"42 St-Port Authority Bus Terminal (A,C,E)",M,"See Manhattan CBD Transfer: Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E)",,,,,,,,,,,
8 Av,"50 St (C,E)",M,,4246821,4775967,5148328,4862746,4844903,4705726,5063371,5135167,5378311,5832174,6014215
8 Av,8 Av Total,,,35580006,38169561,40676706,40870136,41747317,39206252,40954846,41644039,43874047,46541342,48024868
53 St,"7 Av (B,D,E)",M,,3880573,4169294,4302476,3816125,3270470,3022105,3503663,3602310,3886404,4274701,4407607
53 St,"5 Av-53 St (E,M)",M,,6485663,7476721,8972244,8278472,7041443,6479282,6519352,6789453,6989592,7339012,7488443
53 St,"Lexington Av-53 St (E,M)",M,"See Manhattan CBD Transfer: Lexington Av-53 St (E,M)/51 St (6)",,,,,,,,,,,
53 St,53 St Total,,,10366236,11646015,13274720,12094597,10311913,9501387,10023015,10391763,10875996,11613713,11896050
63 St,57 St (F),M,,2209971,2425058,2360527,1861664,3326682,3734712,4075504,4218995,4249311,4473695,4559484
