Borough,Station,Line,Opening,Closing,Comments,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
BX,231 St,Upper Broadway Line,1/27/1907,,,1570156,1926065,2169627,1859525,1857896,1741051,1571469,1617600,1599585,1627743,1493161,1368194,1303450,1274080,1291301,1230085,1217769,1168010,1192446,1185570,1079424,1018476,986789,1058881,1070640,1086600,1153891,1296226,1335717,1422218,1459468,1571727,1564133,1581910,1701031,1803138,1859291,1915280
BX,238 St,Upper Broadway Line,5/1/1909,,,906496,958982,1032200,1018005,1157457,1084481,1011936,1046860,1022530,993644,920687,866121,817950,766372,760048,707370,702435,679490,682441,669715,659075,580694,550113,572923,561383,557721,592329,651753,667212,671752,598717,612662,647613,626580,655159,689693,707984,697672
BX,Van Cortlandt Park-242 St,Upper Broadway Line,8/1/1908,,,1952171,2105302,2243285,2240146,2150786,2039165,1808890,1811290,1769188,1801080,1634452,1530632,1366266,1306074,1231537,1149619,1104791,1049280,1086600,1070992,987426,949421,912149,1032744,1000503,1003371,1082068,1157146,1179502,1192692,1228361,1271882,1230110,1313281,1350371,1410850,1441659,1442078
,Upper Broadway Line Total,Upper Broadway Line,,,,32142328,33680381,35702351,34634512,35227845,34082518,31321276,32300639,32508204,34005567,32134915,30772321,28845967,27392597,27288876,25942302,24506643,23940196,24809690,25477483,24383453,23353811,22172272,23280699,23249407,23002300,24563014,26418857,27526520,28056485,25068061,26386116,27077882,27851761,28965078,29876102,30572724,30506337
MA,Central Park North-110 St,Lenox Ave Line,11/23/1904,,,2303601,2249944,2433796,2359386,2303989,2213197,1964015,1955261,1923048,1920537,1776762,1635896,1474022,1322499,1245693,1175690,1068405,1009537,970732,1020048,998345,1025008,899252,926637,859930,955698,927112,1011534,998090,1030994,646847,932872,1163023,1177671,1235479,1278187,1309321,1328077
MA,116 St,Lenox Ave Line,11/23/1904,,,3616454,3666413,3856660,3728624,3672329,3306126,2971497,2971048,2756823,2612592,2340085,2235281,1966794,1753773,1608470,1452761,1259327,1111414,1074232,1118241,1052276,756871,793735,1003228,975471,1009578,934469,969666,999313,1028346,742645,901608,994269,999162,1084193,1240987,1245688,1326390
MA,125 St,Lenox Ave Line,11/23/1904,,,3983970,4100741,4388551,4175775,4105211,3941123,3575436,3573324,3443133,3350022,3014591,2883959,2667559,2427111,2291018,2122331,1909306,1770814,1768824,1801093,1673307,1213862,1224745,1504628,1437151,1480815,1454080,1618474,1676754,1816633,1124201,1630956,1879562,1907809,1963051,1920811,1972556,2078244
MA,135 St,Lenox Ave Line,11/23/1904,,,4092586,4197292,4606107,4458260,4560919,4506151,4156346,4210662,4110572,4129111,3798726,3694894,3483609,3255919,3099818,2816297,2603856,2421795,2405118,2415959,2297627,1753026,1794670,2080811,2040501,2035801,2099187,2186882,2275854,2221676,1490362,1962615,2275642,2307875,2342076,2338001,2336153,2418163
MA,145 St,Lenox Ave Line,11/23/1904,,,1155183,1249322,1487586,1418578,1473914,1404915,1318537,1362871,1290814,1207915,1093171,1030232,966388,879392,830237,764118,700562,637693,610779,586491,524026,421620,391595,410422,363588,369009,406430,443804,479647,484215,397661,438241,465452,461191,491232,517255,533807,531571
MA,Harlem-148 St,Lenox Ave Line,5/13/1968,,,,,,,,,,,355652,703127,727028,727345,703004,661983,634349,587345,542141,502066,496197,483752,421395,329443,320184,331021,311362,326412,338908,376283,426615,441579,380337,403941,395613,374887,401793,406311,424535,440148
